FSCSKEY,district_geoid,weight
NY0529,3606330,1.0
NY0531,3604920,1.0
NY0532,3611970,1.0
NY0533,3612300,1.0
NY0535,3620220,1.0
NY0537,3629640,1.0
NY0539,3607860,1.0
NY0540,3618030,1.0
NY0543,3620640,1.0
NY0548,3627120,1.0
NY0554,3603420,1.0
NY0557,3622770,1.0
NY0561,3631860,1.0
NY0566,3608430,1.0
NY0567,3625320,1.0
NY0568,3612330,1.0
NY0569,3612960,1.0
NY0575,3620700,1.0
NY0577,3623520,1.0
NY0580,3629970,1.0
NY0581,3630030,1.0
NY0584,3620190,1.0
NY0589,3622560,1.0
NY0592,3627810,1.0
NY0594,3628320,1.0
NY0602,3628890,1.0
NY0604,3617220,1.0
NY0605,3617580,1.0
NY0606,3619740,1.0
NY0607,3625020,1.0
NY0609,3610500,1.0
NY0613,3624120,1.0
NY0618,3618900,1.0
NY0620,3625770,1.0
NY0621,3626160,1.0
NY0622,3628110,1.0
NY0623,3630060,1.0
NY0629,3613110,1.0
NY0638,3614970,1.0
NY0640,3631290,1.0
NY0642,3602880,1.0
NY0643,3602940,1.0
NY0644,3603720,1.0
NY0645,3600008,1.0
NY0646,3604110,1.0
NY0647,3608160,1.0
NY0648,3605280,1.0
NY0649,3605370,1.0
NY0650,3604080,1.0
NY0651,3600008,1.0
NY0653,3606840,1.0
NY0654,3619200,1.0
NY0655,3606870,1.0
NY0656,3608010,1.0
NY0657,3608130,1.0
NY0658,3608310,1.0
NY0660,3608880,1.0
NY0661,3613290,1.0
NY0662,3609660,1.0
NY0663,3609720,1.0
NY0665,3613620,1.0
NY0666,3612840,1.0
NY0667,3613530,1.0
NY0668,3625350,1.0
NY0669,3615090,1.0
NY0670,3627300,1.0
NY0671,3615540,1.0
NY0672,3617380,1.0
NY0674,3619230,1.0
NY0675,3619710,1.0
NY0676,3620910,1.0
NY0677,3621270,1.0
NY0678,3622470,1.0
NY0679,3623490,1.0
NY0680,3615780,1.0
NY0681,3624060,1.0
NY0682,3624690,1.0
NY0683,3625380,1.0
NY0684,3625920,1.0
NY0685,3628200,1.0
NY0687,3618690,1.0
NY0688,3626840,1.0
NY0690,3627540,1.0
NY0691,3627620,1.0
NY0692,3630540,1.0
NY0693,3630690,1.0
NY0694,3631020,1.0
NY0695,3631800,1.0
NY0697,3602460,1.0
NY0702,3604710,1.0
NY0703,3613080,1.0
NY0704,3618990,1.0
NY0705,3624150,1.0
NY0707,3629670,1.0
NY0731,3606990,1.0
NY0732,3608580,1.0
NY0742,3614190,1.0
NY0744,3620100,1.0
NY0745,3620490,1.0
NY0747,3622020,1.0
