GEOID,lat,lon
1733420,41.5100091,-87.7346941
1733720,41.9627382,-87.8166774
1734020,41.8350092,-87.833419
1738940,41.5856206,-87.544571
1738970,41.608374,-87.6225568
1719080,42.1787869,-87.8367062
1721780,42.2526073,-87.8589232
1722830,42.2800147,-87.9399419
1727570,42.28021,-88.0542671
1732580,42.195109,-87.973747
1733510,42.4544335,-88.2857359
1740800,42.3897157,-87.9458874
1743890,42.4611073,-87.8726236
1703870,42.4521524,-88.0898736
1711370,42.2416419,-88.300028
1717340,42.3819573,-88.1593888
1717550,42.360642,-88.046984
1725320,42.3376522,-88.2795919
1717902,40.9512121,-88.6748113
1740440,41.8793727,-88.2033455
1704770,38.6059576,-89.5269379
1717903,40.9341111,-88.7675833
1703780,37.4712354,-89.1913985
1740290,37.4438151,-88.8658483
1701384,40.4997212,-91.0654568
1723050,40.1402623,-89.3890947
1730330,41.331334,-88.83252
1731620,38.1170831,-89.3810703
1719620,42.4362751,-89.1013015
1724570,42.228951,-88.6141799
1712990,38.8393728,-90.1019904
1706960,41.182964,-87.8611714
2121001,37.1895952,-84.1132867
2121002,37.1767828,-84.624303
2121004,38.2697855,-85.5376327
2121005,39.0689295,-84.4745985
2300053,44.2542007,-69.1379708
2303480,43.9800698,-69.4303812
2304830,44.022351,-69.4907559
2308400,44.5059115,-67.5342418
2308500,44.3188034,-68.3232666
2308760,44.0522769,-69.5675223
2525013,42.5300036,-73.316635
2511490,42.1215862,-72.1650141
2500541,41.8023599,-71.1120972
2503870,42.4904268,-71.3531973
2504290,42.2356009,-71.3329825
2506930,42.4008258,-71.3896887
2525005,42.4182398,-70.9327277
2525006,42.3834973,-73.3591868
2525007,42.6955322,-72.9091479
2525010,41.7182175,-70.9011509
2507410,42.6521665,-71.0010008
2525012,42.0135566,-70.0641514
2525003,42.6134178,-72.4264276
2509150,41.7182359,-70.8113435
2510830,41.9792249,-70.7999048
2525008,42.5941657,-73.0223195
2525009,42.6800415,-73.0158137
2506510,42.0581953,-71.350877
2501920,42.4167592,-72.450132
2505100,42.4873215,-72.647689
2509900,42.4654045,-72.3087328
2522222,42.6104497,-72.8877351
2525015,42.1510917,-73.1132071
2599001,42.6799712,-72.3398816
2507380,41.3661733,-70.6325377
2508910,42.3133469,-71.5932103
2505740,42.3494979,-72.7821402
2525002,42.7227205,-73.1058185
2525014,42.7277722,-72.9853464
2504560,41.8333183,-70.0037867
2727001,46.9853376,-95.4000147
3011460,48.3206929,-105.9907372
3014370,48.4776347,-107.0598576
3016770,48.6910874,-115.0126353
3026580,48.6994376,-115.7560085
3006330,47.8812348,-112.4622735
3005190,48.6700782,-113.1568269
3008190,48.7040684,-112.4177637
3023070,46.5052807,-108.4397631
3003450,47.2271416,-110.8886244
3005910,47.0748475,-111.6883679
3013050,47.556188,-111.2162581
3024330,47.535498,-111.734912
3025140,47.2352365,-111.2025497
3003090,45.384931,-113.0590965
3011260,47.9197343,-110.9472082
3007320,48.2277428,-111.9537886
3027090,48.2849644,-112.4196402
3003840,47.9028398,-113.8907908
3005310,45.9047078,-112.671076
3007860,48.1894669,-104.4842542
3011580,48.336847,-104.6669159
3021270,48.3150419,-105.1389781
3020100,45.4630812,-110.5349297
3013340,45.4969785,-107.4495469
3013360,45.357966,-108.3611108
3017040,45.1909013,-107.4274442
3013590,48.6898671,-109.7810845
3028911,48.2330293,-109.8019316
3000101,48.5729312,-110.9546212
3007080,45.8450514,-106.6460698
3011190,46.4834866,-107.0752358
3000095,45.438333,-106.5888604
3023910,48.501961,-111.6057314
3012990,46.9298733,-108.936562
3008850,47.4088256,-109.8421105
3018900,46.8395497,-109.616825
3015390,46.6385692,-109.6528445
3001740,45.3766148,-109.7501973
3004920,46.0507359,-108.7854479
3007200,45.6436291,-109.2706396
3020070,45.6820076,-108.9509173
3021900,45.9582419,-109.1936045
3022260,45.7577861,-109.4989601
3009210,46.6321826,-113.4134128
3000933,45.9901782,-110.5423465
3003330,45.8581628,-111.1271605
3004590,45.6507773,-111.0407457
3017640,46.0793038,-110.9662367
3026190,45.9536097,-111.4489636
3028170,45.7559363,-111.5924354
3002030,46.0218272,-113.0672846
3021450,46.8442254,-112.9310998
3018540,47.0693753,-113.8581532
3016020,47.766646,-104.755782
3023550,47.5069263,-104.4510576
3024230,47.6208436,-104.2044065
3011880,47.2671843,-106.9959912
3016230,45.6254989,-108.746325
3023970,46.0221619,-108.4124906
3004860,45.4089262,-105.555344
3023400,48.5291427,-107.4220668
3007930,46.2614136,-105.5503521
3015420,48.1210943,-114.5479389
